DIV,LOB,GL_CC,Account Nbr,level_1,level_2,level_3,level_4,CTDESC,2024 - 07,2024 - 08,2024 - 09,2024 - 10,2024 - 11,2024 - 12,2025 - 01,2025 - 02,2025 - 03,2025 - 04,2025 - 05,2025 - 06,2025 - 07,2025 - 08,2025 - 09,10
107,17,67,4538-00,Total Variable Operating Expense,Total Equipment Maintenance,Trailer Maint. & Tire Expense,Trailer Maintenance,Trailer Damage Expense,13,33,24,8,7,20,60,6,0,13,3,15,36,31,31,
107,17,67,4541-00,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other,Outsourced Equip Maint-Tractor,"5,182","2,232","5,986","4,859","22,344","8,187","1,216","11,626","7,652","17,027","9,983","24,311","17,453","8,662","21,123","3,615"
107,17,67,4541-01,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other,Outsourced Equip Maint-Trailer,,,,,,,,,"19,030",,"20,776","19,684","22,172","21,191","22,346",
107,17,67,4542-00,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other,Sublets Applied,"-5,182","-2,232","-5,986","-4,859","-22,344","-8,187","-1,216","-11,626","-26,682","-17,027","-30,759","-43,995","-39,625","-29,853","-43,469",
107,17,67,4545-02,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other,Sales Tax,,,,,,,,,,,"9,481",,,,,
107,17,67,4551-00,Total Variable Operating Expense,Total Equipment Maintenance,Tractor Maint. & Tire Expense,Tractor Tire Expense,Tractor Tires Expense,"2,256","5,873","8,837","3,162","7,527","10,973","6,722","3,378","12,086","5,079","9,654","4,894","7,534","13,001","8,185","5,657"
107,17,67,4552-00,Total Variable Operating Expense,Total Equipment Maintenance,Trailer Maint. & Tire Expense,Trailer Tire Expense,Trailer Tire Expense,72,167,128,42,17,67,213,19,0,55,13,62,155,139,146,
107,17,67,4560-00,Total Variable Operating Expense,Other Ops Variable Expense,Road Expense,Road Expense,Road Expense-General,,22,,114,25,20,,,,,68,,,,86,
107,17,67,4560-01,Total Variable Operating Expense,Other Ops Variable Expense,Road Expense,Road Expense,Road Expenses - Motel,,258,,234,410,,,259,,,318,514,149,107,853,
107,17,67,4560-02,Total Variable Operating Expense,Other Ops Variable Expense,Road Expense,Road Expense,Road Expenses - Phones,338,473,374,374,491,363,488,449,423,413,557,408,398,488,416,102
